site_code,ABTO,ACWO,AMCO,AMGO,AMKE,AMPI,AMRO,AMWI,ANHU,ATFL,AUWA,AWPE,BCFL,BCHU,BCNH,BETH,BEVI,BEWR,BGGN,BHCO,BLPH,BNST,BRBL,BROC,BRSP,BTGN,BTSP,BTYW,BUOR,BUOW,CACW,CANG,CANT,CBTH,CEDW,CLSW,COGA,COHA,COHU,CORA,COYE,CRTH,DCCO,DEJU,EUCD,EUST,GAQU,GBHE,GIFL,GIWO,GREG,GRHE,GRRO,GRYE,GTGR,HASH,HOFI,HOLA,HOOR,HOSP,HOWR,INDO,KILL,LARB,LASP,LBWO,LEGO,LENI,LISP,LOSH,LUWA,MALL,MERL,MOBL,MODO,MYWA,NECO,NOCA,NOFL,NOHA,NOMO,NRWS,OCWA,OSPR,OVEN,PEFA,PHAI,RCKI,RFLB,RFLO,ROPI,ROWR,RTHA,RWBL,SAGS,SAPH,SAVS,SNEG,SOSP,SPTO,SSHA,TUVU,UAHA,UDCO,UDOV,UFLI,UNBI,UNBL,UNDU,UNFA,UNFL,UNHA,UNHU,UNSP,UNSW,UNWA,VERD,VGSW,WCSP,WEBL,WEKI,WEME,WETA,WIWA,WTSW,WWDO,YEWA,YRWA
sp_08_w9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,6,10,7,0,1,5,0,0,0,0,1,4,2,0,0,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
sp_08_X16,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,2,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
sp_08_X17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,39,0,0,0,6,0,0,0,0,11,0,12,0,0,22,0,3,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,37,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
sp_08_Y10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,3,0,0,0,0,0,3,24,0,0,4,0,0,0,0,9,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
sp_08_Y18,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,27,0,0,0,4,0,0,0,0,9,0,12,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp_08_Y6,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,10,0,1,6,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,13,2,0,0,0,0,0,0,0,1,0
sp_08_Z18,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,0,8,0,0,14,0,3,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
sp_08_Z20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,8,0,14,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
sp_08_Z21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,5,0,0,0,0,46,0,6,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0
sp_08_z23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
